osmid,y,x,highway,street_count,junction,geometry
30037235,13.0807843,80.2651669,traffic_signals,4,,POINT (80.2651669 13.0807843)
30037236,13.0802951,80.2627848,traffic_signals,4,,POINT (80.2627848 13.0802951)
30037239,13.0794309,80.2587734,traffic_signals,4,,POINT (80.2587734 13.0794309)
30037241,13.0789975,80.2546809,traffic_signals,4,,POINT (80.2546809 13.0789975)
30037242,13.0788454,80.2532029,,3,,POINT (80.2532029 13.0788454)
30037243,13.0788878,80.2516867,traffic_signals,3,,POINT (80.2516867 13.0788878)
30037244,13.0788576,80.2501014,traffic_signals,3,,POINT (80.2501014 13.0788576)
30037247,13.0773336,80.2406122,traffic_signals,4,,POINT (80.2406122 13.0773336)
30037248,13.0766849,80.2380064,traffic_signals,4,,POINT (80.2380064 13.0766849)
30037250,13.0758601,80.2338889,traffic_signals,4,,POINT (80.2338889 13.0758601)
30037252,13.0741092,80.229074,,3,,POINT (80.229074 13.0741092)
30037255,13.0739518,80.2247736,traffic_signals,3,,POINT (80.2247736 13.0739518)
30037261,13.0769454,80.2117598,,3,,POINT (80.2117598 13.0769454)
30037263,13.0769988,80.2069314,,3,,POINT (80.2069314 13.0769988)
30037265,13.0763573,80.2015481,,3,,POINT (80.2015481 13.0763573)
30037274,13.0741036,80.1911704,,3,,POINT (80.1911704 13.0741036)
30037278,13.0714757,80.1861915,,3,,POINT (80.1861915 13.0714757)
30037288,13.0644252,80.1716526,,4,,POINT (80.1716526 13.0644252)
30037398,13.0822677,80.2816254,traffic_signals,4,,POINT (80.2816254 13.0822677)
30037862,13.0109201,80.2170576,,3,,POINT (80.2170576 13.0109201)
30037863,13.012363,80.2210838,,3,,POINT (80.2210838 13.012363)
30037866,13.0154974,80.2253737,,4,,POINT (80.2253737 13.0154974)
30037875,13.0280247,80.2353917,,3,,POINT (80.2353917 13.0280247)
30037877,13.0311611,80.2396609,traffic_signals,3,,POINT (80.2396609 13.0311611)
30037879,13.034031,80.24451,,3,,POINT (80.24451 13.034031)
30037885,13.0488046,80.2497282,,3,,POINT (80.2497282 13.0488046)
30037889,13.0557701,80.2555623,,3,,POINT (80.2555623 13.0557701)
30037890,13.0566976,80.2566721,,3,,POINT (80.2566721 13.0566976)
30037891,13.0577844,80.2576907,traffic_signals,3,,POINT (80.2576907 13.0577844)
30037899,13.0681313,80.2712749,traffic_signals,3,,POINT (80.2712749 13.0681313)
30037903,13.0716541,80.2743139,traffic_signals,4,,POINT (80.2743139 13.0716541)
30037904,13.0717936,80.2743746,traffic_signals,4,,POINT (80.2743746 13.0717936)
30038702,13.1199132,80.1992866,,3,,POINT (80.1992866 13.1199132)
30038723,13.0806313,80.198514,,3,,POINT (80.198514 13.0806313)
30038724,13.0764358,80.1990264,,3,,POINT (80.1990264 13.0764358)
30038725,13.0754064,80.1990697,,3,,POINT (80.1990697 13.0754064)
30038738,13.0499473,80.21188,traffic_signals,4,,POINT (80.21188 13.0499473)
30038742,13.0347728,80.2125689,,3,,POINT (80.2125689 13.0347728)
30038743,13.0350316,80.2107742,,3,,POINT (80.2107742 13.0350316)
30038745,13.032358,80.2095735,,3,,POINT (80.2095735 13.032358)
30038751,13.0222375,80.2063264,,3,,POINT (80.2063264 13.0222375)
30038752,13.0197889,80.2062735,,3,,POINT (80.2062735 13.0197889)
30038753,13.0190019,80.2060881,,3,,POINT (80.2060881 13.0190019)
30039085,13.0361539,80.1534309,,3,,POINT (80.1534309 13.0361539)
30039088,13.0344292,80.1571727,,3,,POINT (80.1571727 13.0344292)
30039099,13.0148013,80.1929426,,3,,POINT (80.1929426 13.0148013)
30051246,13.0380739,80.2566429,traffic_signals,5,,POINT (80.2566429 13.0380739)
30051247,13.0394741,80.2470503,traffic_signals,3,,POINT (80.2470503 13.0394741)
30051249,13.0287832,80.2497725,traffic_signals,4,,POINT (80.2497725 13.0287832)
30051250,13.0324844,80.2525217,,3,,POINT (80.2525217 13.0324844)
30051254,13.0448445,80.2598438,,3,,POINT (80.2598438 13.0448445)
30051285,13.0396216,80.2525162,,3,,POINT (80.2525162 13.0396216)
30051287,13.0388392,80.2571665,traffic_signals,4,,POINT (80.2571665 13.0388392)
30051288,13.0386451,80.25237,,4,,POINT (80.25237 13.0386451)
30051291,13.0400724,80.2504421,,3,,POINT (80.2504421 13.0400724)
30051293,13.0401481,80.2518552,,3,,POINT (80.2518552 13.0401481)
30051296,13.0414962,80.2519579,,4,,POINT (80.2519579 13.0414962)
30051299,13.0393041,80.2545661,,3,,POINT (80.2545661 13.0393041)
30051301,13.0389572,80.2502825,,3,,POINT (80.2502825 13.0389572)
30051303,13.0387699,80.2515707,,3,,POINT (80.2515707 13.0387699)
30051362,13.0411381,80.2548625,,3,,POINT (80.2548625 13.0411381)
30051584,13.0400851,80.2579571,,3,,POINT (80.2579571 13.0400851)
30051586,13.0403949,80.252592,,1,,POINT (80.252592 13.0403949)
30051602,13.0404152,80.2504403,,3,,POINT (80.2504403 13.0404152)
30051607,13.0404836,80.2472563,,3,,POINT (80.2472563 13.0404836)
30051609,13.0394835,80.2517109,,3,,POINT (80.2517109 13.0394835)
30051634,13.040743,80.2504311,,3,,POINT (80.2504311 13.040743)
30051636,13.0408027,80.2519856,,3,,POINT (80.2519856 13.0408027)
30051677,13.0387852,80.2513739,,3,,POINT (80.2513739 13.0387852)
30051695,13.034865,80.2570577,,3,,POINT (80.2570577 13.034865)
30051696,13.0350631,80.254416,,4,,POINT (80.254416 13.0350631)
30051698,13.0355957,80.2459911,traffic_signals,3,,POINT (80.2459911 13.0355957)
30051763,13.0367207,80.2536552,,3,,POINT (80.2536552 13.0367207)
30051765,13.0366765,80.2556236,,3,,POINT (80.2556236 13.0366765)
30051794,13.018654,80.2599022,,3,,POINT (80.2599022 13.018654)
30051796,13.0222409,80.259261,,4,,POINT (80.259261 13.0222409)
30051799,13.028028,80.2563692,,4,,POINT (80.2563692 13.028028)
30051800,13.0315214,80.2567128,,4,,POINT (80.2567128 13.0315214)
30052014,13.0439483,80.2719121,,3,,POINT (80.2719121 13.0439483)
30052017,13.0432766,80.2764744,,4,,POINT (80.2764744 13.0432766)
30142985,12.8976224,80.2474759,traffic_signals,3,,POINT (80.2474759 12.8976224)
30142987,12.9012737,80.2486642,,3,,POINT (80.2486642 12.9012737)
30142990,12.9099942,80.2500562,,4,,POINT (80.2500562 12.9099942)
30142992,12.9145818,80.2504002,,3,,POINT (80.2504002 12.9145818)
30142997,12.9197264,80.2511506,,4,,POINT (80.2511506 12.9197264)
30143018,12.9616653,80.2562055,traffic_signals,4,,POINT (80.2562055 12.9616653)
30143020,12.9667299,80.2570185,,3,,POINT (80.2570185 12.9667299)
30143073,12.8687688,80.2434882,,3,,POINT (80.2434882 12.8687688)
30143076,12.8628043,80.2420304,,3,,POINT (80.2420304 12.8628043)
30143488,12.9245103,80.2512176,,3,,POINT (80.2512176 12.9245103)
30143491,12.9207222,80.251404,,3,,POINT (80.251404 12.9207222)
30143495,12.9082282,80.2498618,,3,,POINT (80.2498618 12.9082282)
30143496,12.905517,80.2492449,,3,,POINT (80.2492449 12.905517)
30237377,13.0826299,80.288992,,3,,POINT (80.288992 13.0826299)
30237399,13.0334551,80.2773791,traffic_signals,3,,POINT (80.2773791 13.0334551)
30237401,13.0320471,80.2775503,,3,,POINT (80.2775503 13.0320471)
30237405,13.0302132,80.2768724,,3,,POINT (80.2768724 13.0302132)
30237406,13.029667,80.2767027,,3,,POINT (80.2767027 13.029667)
30237407,13.0286414,80.2763859,,5,,POINT (80.2763859 13.0286414)
30237409,13.0266872,80.2755921,,3,,POINT (80.2755921 13.0266872)
30237410,13.0258557,80.2752027,,4,,POINT (80.2752027 13.0258557)
30237413,13.0240343,80.2739707,traffic_signals,4,,POINT (80.2739707 13.0240343)
30237417,13.0187071,80.2671583,,3,,POINT (80.2671583 13.0187071)
30267994,13.0319035,80.2116595,,3,,POINT (80.2116595 13.0319035)
30268340,13.0691904,80.2057882,,3,,POINT (80.2057882 13.0691904)
30268341,13.0722465,80.2020302,traffic_signals,3,,POINT (80.2020302 13.0722465)
30268464,13.0091943,80.2286092,,3,,POINT (80.2286092 13.0091943)
30268466,13.0067745,80.2476214,,3,,POINT (80.2476214 13.0067745)
30268467,12.9877944,80.2513358,traffic_signals,3,,POINT (80.2513358 12.9877944)
186741971,13.0647739,80.2435271,,3,,POINT (80.2435271 13.0647739)
186741976,13.0612586,80.2431315,,3,,POINT (80.2431315 13.0612586)
186741978,13.0595516,80.2425141,,3,,POINT (80.2425141 13.0595516)
186741980,13.0578356,80.2427521,,4,,POINT (80.2427521 13.0578356)
243047945,13.0401479,80.2547068,,3,,POINT (80.2547068 13.0401479)
243048056,13.0402912,80.2534574,,1,,POINT (80.2534574 13.0402912)
243048065,13.039099,80.2559325,,3,,POINT (80.2559325 13.039099)
243048095,13.0421882,80.2563956,,4,,POINT (80.2563956 13.0421882)
243048096,13.0432611,80.2564612,,4,,POINT (80.2564612 13.0432611)
243048109,13.0410781,80.255375,,3,,POINT (80.255375 13.0410781)
243048118,13.0392354,80.2550668,,3,,POINT (80.2550668 13.0392354)
243048120,13.0397473,80.2560404,,3,,POINT (80.2560404 13.0397473)
243048122,13.0394757,80.2576329,,3,,POINT (80.2576329 13.0394757)
243048123,13.0403598,80.2561423,,3,,POINT (80.2561423 13.0403598)
243048197,13.0396146,80.2503881,,3,,POINT (80.2503881 13.0396146)
243048295,13.035305,80.2507807,,4,,POINT (80.2507807 13.035305)
243048545,13.0390767,80.2494016,,3,,POINT (80.2494016 13.0390767)
243048574,13.0394748,80.2494581,,3,,POINT (80.2494581 13.0394748)
